Player,Position,Team,ADP,ADP_StdDev
Harold Fannin Jr.,TE,CLE,118.0,33.83
Daniel Jones,QB,IND,121.0,27.09
Sam LaPorta,TE,DET,122.0,24.03
Quentin Johnston,WR,LAC,124.0,14.28
Michael Pittman Jr.,WR,PIT,125.0,12.38
Jordan Addison,WR,MIN,126.0,15.48
Ricky Pearsall,WR,SF,129.0,12.92
Josh Downs,WR,IND,131.0,10.52
Wan'Dale Robinson,WR,TEN,132.0,19.78
Isiah Pacheco,RB,DET,132.0,26.61
Keaton Mitchell,RB,LAC,133.0,26.08
Kyle Pitts Sr.,TE,ATL,133.0,26.49
Jonah Coleman,RB,DEN,136.0,27.42
Tyjae Spears,RB,TEN,137.0,28.69
James Conner,RB,ARI,138.0,32.24
Bryce Young,QB,CAR,139.0,32.64
Alvin Kamara,RB,NO,139.0,29.91
George Kittle,TE,SF,142.0,36.23
Xavier Worthy,WR,KC,143.0,20.6
Dylan Sampson,RB,CLE,145.0,34.83
KC Concepcion,WR,CLE,149.0,29.89
Tank Bigsby,RB,PHI,151.0,33.82
Emanuel Wilson,RB,SEA,152.0,34.09
Jacoby Brissett,QB,ARI,153.0,36.92
Jayden Higgins,WR,HOU,153.0,23.03
Romeo Doubs,WR,NE,154.0,22.24
Brian Robinson Jr.,RB,ATL,156.0,36.64
Aaron Rodgers,QB,PIT,156.0,42.2
Matthew Golden,WR,GB,157.0,28.79
Braelon Allen,RB,NYJ,158.0,37.68
Emmett Johnson,RB,KC,159.0,35.79
Travis Kelce,TE,KC,161.0,36.13
Stefon Diggs,WR,,163.0,27.87
Fernando Mendoza,QB,LV,165.0,30.66
Sean Tucker,RB,TB,166.0,33.04
Mike Washington Jr.,RB,LV,168.0,33.07
Nicholas Singleton,RB,TEN,168.0,30.11
Kimani Vidal,RB,LAC,169.0,36.51
Khalil Shakir,WR,BUF,169.0,33.6
Dalton Kincaid,TE,BUF,170.0,33.24
Houston Texans,DS,HOU,171.0,39.44
Kaytron Allen,RB,WAS,172.0,27.84
Dallas Goedert,TE,PHI,174.0,33.19
Jalen Coker,WR,CAR,174.0,30.1
Jake Ferguson,TE,DAL,175.0,33.22
Ray Davis,RB,BUF,175.0,31.09
Isaiah Likely,TE,NYG,176.0,35.84
Denver Broncos,DS,DEN,178.0,34.17
Seattle Seahawks,DS,SEA,182.0,30.78
Geno Smith,QB,NYJ,182.0,33.03
Jaylen Wright,RB,MIA,184.0,26.5
Los Angeles Rams,DS,LAR,185.0,28.12
Philadelphia Eagles,DS,PHI,188.0,25.51
Rashid Shaheed,WR,SEA,188.0,27.98
