Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Games_Pass_300,Games_Pass_400,Games_Comb_100,Games_Comb_200,Pass_40p,Rush_40p,Rec_20p
Harold Fannin Jr.,TE,CLE,0,0,0,26,0,77,770,5,0,0,1,0,0,0,9
Sam LaPorta,TE,DET,0,0,0,3,0,67,743,6,0,0,1,0,0,0,8
Kyle Pitts Sr.,TE,ATL,0,0,0,0,0,66,756,5,0,0,1,0,0,0,8
Tucker Kraft,TE,GB,0,0,0,0,0,64,728,5,0,0,1,0,0,0,8
Travis Kelce,TE,KC,0,0,0,0,0,67,680,5,0,0,1,0,0,0,8
Mark Andrews,TE,BAL,0,0,0,11,0,57,622,6,0,0,1,0,0,0,8
Dalton Kincaid,TE,BUF,0,0,0,0,0,63,701,4,0,0,1,0,0,0,8
Jake Ferguson,TE,DAL,0,0,0,0,0,70,618,5,0,0,1,0,0,0,8
Brenton Strange,TE,JAX,0,0,0,0,0,60,648,5,0,0,1,0,0,0,7
George Kittle,TE,SF,0,0,0,0,0,57,649,5,0,0,1,0,0,0,7
Oronde Gadsden II,TE,LAC,0,0,0,0,0,57,636,5,0,0,0,0,0,0,7
Isaiah Likely,TE,NYG,0,0,0,0,0,59,622,5,0,0,0,0,0,0,7
Hunter Henry,TE,NE,0,0,0,0,0,55,624,5,0,0,0,0,0,0,6
Dallas Goedert,TE,PHI,0,0,0,0,0,53,590,5,0,0,0,0,0,0,6
AJ Barner,TE,SEA,0,0,0,14,1,58,530,4,0,0,0,0,0,0,6
Juwan Johnson,TE,NO,0,0,0,0,0,54,586,4,0,0,0,0,0,0,5
Kenyon Sadiq,TE,NYJ,0,0,0,9,0,55,570,4,0,0,0,0,0,0,5
Dalton Schultz,TE,HOU,0,0,0,0,0,55,545,4,0,0,0,0,0,0,5
T. Hockenson,TE,MIN,0,0,0,0,0,57,565,3,0,0,0,0,0,0,5
P. Freiermuth,TE,PIT,0,0,0,0,0,51,534,4,0,0,0,0,0,0,5
C. Otton,TE,TB,0,0,0,0,0,56,540,3,0,0,0,0,0,0,5
Chig Okonkwo,TE,WAS,0,0,0,0,0,53,514,3,0,0,0,0,0,0,5
