Player,Position,Team,ADP,ADP_StdDev
Denzel Boston,WR,CLE,170,56.26
Jalen McMillan,WR,TB,171,55.14
Philadelphia Eagles,DS,PHI,171,30.78
Dallas Goedert,TE,PHI,171,50.27
Emmett Johnson,RB,KC,173,49.03
Pittsburgh Steelers,DS,PIT,174,30.16
Minnesota Vikings,DS,MIN,175,29.97
New England Patriots,DS,NE,175,30.4
Jacksonville Jaguars,DS,JAC,175,29.72
Brandon Aubrey,K1,DAL,177,40.91
Jerry Jeudy,WR,CLE,177,58.13
Los Angeles Chargers,DS,LAC,179,31.22
Travis Hunter,WR,JAC,181,60.29
Mark Andrews,TE,BAL,184,52.35
Ka'imi Fairbairn,K2,HOU,185,36.5
Cameron Dicker,K3,LAC,185,36.3
Patrick Mahomes II,QB,KC,186,65.16
Matthew Stafford,QB,LAR,186,69.51
Cam Little,K4,JAC,188,35.36
Oronde Gadsden II,TE,LAC,188,55.31
Jason Myers,K5,SEA,188,35.05
Eddy Pineiro,K6,SF,190,34.25
Tyler Loop,K7,BAL,191,33.95
Evan McPherson,K8,CIN,192,34.04
Andy Borregales,K9,NE,194,33.77
Nicholas Singleton,RB,TEN,195,55.43
Mike Washington Jr.,RB,LV,196,54.46
Deebo Samuel Sr.,WR,,196,62.48
Sean Tucker,RB,TB,198,56.41
Cairo Santos,K1,CHI,200,37.13
Kimani Vidal,RB,LAC,200,55.71
Green Bay Packers,DS,GB,203,44.03
Juwan Johnson,TE,NO,211,54.06
Chig Okonkwo,TE,WAS,212,54
Bo Nix,QB,DEN,212,60.1
Tre Tucker,WR,LV,213,59.28
Chase McLaughlin,K1,TB,214,41.7
Brenton Strange,TE,JAC,215,53.89
Jalen Nailor,WR,LV,220,55.02
Ray Davis,RB,BUF,221,52.22
Jared Goff,QB,DET,226,55.69
Kyler Murray,QB,MIN,227,57.3
Kaytron Allen,RB,WAS,227,50.82
Tre' Harris,WR,LAC,228,54.19
Cleveland Browns,DS,CLE,231,45.81
Adonai Mitchell,WR,NYJ,232,51.55
Antonio Williams,WR,WAS,232,50.83
Tyreek Hill,WR,,233,50.31
Jake Bates,K1,DET,234,40.55
Baltimore Ravens,DS,BAL,234,44.56
Kayshon Boutte,WR,NE,237,48.23
Hunter Henry,TE,NE,237,44.32
Kansas City Chiefs,DS,KC,238,41.56
Kenyon Sadiq,TE,NYJ,239,44.34
Brandon Aiyuk,WR,SF,240,46.52
Harrison Butker,K1,KC,240,39.89
Jaylen Wright,RB,MIA,241,41.82
Harrison Mevis,K1,LAR,245,35.69
Trey Benson,RB,ARI,245,41.57
Calvin Ridley,WR,TEN,245,41.4
Dalton Schultz,TE,HOU,248,37.2
Chris Boswell,K1,PIT,248,33.59
MarShawn Lloyd,RB,GB,249,36.1
Detroit Lions,DS,DET,251,33.04
Justice Hill,RB,BAL,251,35.44
Ollie Gordon II,RB,MIA,251,31.55
Jordan James,RB,SF,252,32.32
Troy Franklin,WR,DEN,252,33.48
Tyler Shough,QB,NO,254,31.23
Indianapolis Colts,DS,IND,254,31.55
T.J. Hockenson,TE,MIN,254,29.42
Malik Willis,QB,MIA,254,30.38
Jordan Love,QB,GB,254,29.97
Baker Mayfield,QB,TB,255,30.34
Demond Claiborne,RB,MIN,256,27.32
Devin Neal,RB,NO,256,25.33
Jack Bech,WR,LV,257,26.74
Isaac TeSlaa,WR,DET,257,25.27
Jaylin Noel,WR,HOU,258,24.51
AJ Barner,TE,SEA,258,23.63
Kaleb Johnson,RB,PIT,258,21.77
Will Reichard,K1,MIN,258,21.27
Ryan Flournoy,WR,DAL,259,22.51
George Holani,RB,SEA,259,23.26
Greg Dulcich,TE,MIA,259,21.79
Kaelon Black,RB,SF,260,18.69
Malik Washington,WR,MIA,260,19.8
Phil Mafah,RB,DAL,260,21.62
Joe Mixon,RB,,260,19.95
Darnell Mooney,WR,NYG,260,18.08
Jaydon Blue,RB,DAL,260,16.66
Chimere Dike,WR,TEN,260,17.7
Theo Wease Jr.,WR,MIA,261,19.9
Chris Brooks,RB,GB,261,16.69
Malik Davis,RB,DAL,261,16.77
Darren Waller,TE,,261,17.3
Gunnar Helm,TE,TEN,261,16.17
Chris Bell,WR,MIA,262,14.92
Najee Harris,RB,LAC,262,13.52
Adam Randall,RB,BAL,262,12.25
Kendre Miller,RB,NO,262,10.9
Dontayvion Wicks,WR,PHI,262,10.92
Zachariah Branch,WR,ATL,262,11.09
C.J. Stroud,QB,HOU,262,11.33
Terrance Ferguson,TE,LAR,262,12.24
David Njoku,TE,LAC,263,11.21
Bryce Young,QB,CAR,263,11.78
DJ Giddens,RB,IND,263,10.38
Pat Bryant,WR,DEN,263,9.58
Tank Dell,WR,HOU,263,9.5
De'Zhaun Stribling,WR,SF,263,9.29
Sam Darnold,QB,SEA,263,9.94
Germie Bernard,WR,PIT,263,8.72
Daniel Jones,QB,IND,263,8.93
Ty Johnson,RB,BUF,263,7.09
Chris Brazzell II,WR,CAR,263,9.67
Roman Hemby,RB,LV,263,6.97
Chicago Bears,DS,CHI,263,8.76
Eli Stowers,TE,PHI,263,8.66
Cam Ward,QB,TEN,263,7.51
Darnell Washington,TE,PIT,263,8.52
Devin Singletary,RB,NYG,263,6.92
Emari Demercado,RB,KC,263,7.31
Miles Sanders,RB,,263,6.25
Samaje Perine,RB,CIN,263,6.49
Tyquan Thornton,WR,KC,263,7.18
Cincinnati Bengals,DS,CIN,263,8.32
Cooper Kupp,WR,SEA,263,6.03
Isaiah Davis,RB,NYJ,263,5.27
LeQuint Allen Jr.,RB,JAC,263,5.21
Rashod Bateman,WR,BAL,264,6.2
Isaac Guerendo,RB,SF,264,5.74
Elic Ayomanor,WR,TEN,264,4.73
Jerome Ford,RB,WAS,264,4.02
Malachi Fields,WR,NYG,264,4.68
Ted Hurst III,WR,TB,264,4.02
Jaydn Ott,RB,KC,264,4.52
Alec Ingold,RB,LAC,264,4.42
Buffalo Bills,DS,BUF,264,6.15
Pierre Strong Jr.,RB,GB,264,4.34
Atlanta Falcons,DS,ATL,264,6.09
Tory Horton,WR,SEA,264,6.04
San Francisco 49ers,DS,SF,264,6.04
New Orleans Saints,DS,NO,264,5.84
Carolina Panthers,DS,CAR,264,5.78
Miles Davis,RB,CAR,264,4.05
Dallas Cowboys,DS,DAL,264,5.68
New York Giants,DS,NYG,264,5.63
Cam Akers,RB,,264,3.94
Miami Dolphins,DS,MIA,264,5.53
Tennessee Titans,DS,TEN,264,5.47
Tampa Bay Buccaneers,DS,TB,264,5.37
Washington Commanders,DS,WAS,264,5.27
Kareem Hunt,RB,,264,5.22
Las Vegas Raiders,DS,LV,264,5.22
Zane Gonzalez,K1,MIA,264,5.16
New York Jets,DS,NYJ,264,5.06
Keon Coleman,WR,BUF,264,3.1
Tyler Bass,K1,BUF,264,4.96
Arizona Cardinals,DS,ARI,264,4.8
Jacoby Brissett,QB,ARI,264,4.39
Elijah Sarratt,WR,BAL,264,3.12
Dean Connors,RB,LAR,264,2.95
Ja'Kobi Lane,WR,BAL,264,3.92
Seth McGowan,RB,IND,264,2.56
Brashard Smith,RB,KC,264,2.55
Evan Engram,TE,DEN,264,3.05
Jaleel McLaughlin,RB,DEN,264,1.84
Tahj Brooks,RB,CIN,264,1.49
Kyle Williams,WR,NE,264,1.39
Trevor Etienne,RB,CAR,264,1.25
J'Mari Taylor,RB,JAC,264,1.2
Patrick Ricard,RB,NYG,264,1.55
Audric Estime,RB,NO,264,1.02
Keenan Allen,WR,LAC,264,0.98
Khalil Herbert,RB,,264,0.88
Bam Knight,RB,ARI,264,0.83
Eli Heidenreich,RB,PIT,264,0.77
Skyler Bell,WR,BUF,264,0.62
